"__v",_id,children.0,children.1,children.2,children.3,children.4,departmentLeader,departmentName,haveParent,parentLists.0,remark,staffList.0,staffList.1
6,6136c612407aae499e9b460e,618671a7de5f4fedfd3c56f9,616d427f073de5a6c06384bf,,,,6133797284776a5a43570c02,测试部,false,6186712fde5f4fedfd3c5633,,6133444bed216929c17c02a0,6133797284776a5a43570c02
1,6136dad93b12395b0479dc06,61867203de5f4fedfd3c577e,,,,,6136cbfe233f684ec3d87081,产品部,false,,123,6135ca5a53cc9c08d08c545f,
1,6136db8c3b12395b0479dc0a,,,,,,6135ca6f53cc9c08d08c5461,研发部,false,6186712fde5f4fedfd3c5633,,,
1,6141c5dd0c9ccc3480c2034f,61867106de5f4fedfd3c5610,,,,,6135d94124b2ad14d3163224,总裁办,false,,总裁办公室,6135d94124b2ad14d3163224,
3,616a96a207c08d61d4b36e56,,,,,,6136d023a8b0f852540e864d,商品部,false,616d421e073de5a6c06384b9,需要审核,6136d023a8b0f852540e864d,
4,616d3eb1230177a6b820d5e5,,,,,,616c15d2e09195d7584be11a,前端组,false,6186712fde5f4fedfd3c5633,123123a,,
3,616d3ed2230177a6b820d5eb,,,,,,616bc216f4a35c5d5c92d1c5,后端组,true,6186712fde5f4fedfd3c5633,123123,,
4,616d3f7f230177a6b820d5f8,,,,,,616c15d2e09195d7584be11a,大数据组,false,6186712fde5f4fedfd3c5633,,,
8,616d421e073de5a6c06384b9,61865f71388b51c33cec9e8e,61860770d8e9f449f1ae2d1b,616a96a207c08d61d4b36e56,,,616c15d2e09195d7584be11a,市场部,false,,,,
10,616d427f073de5a6c06384bf,,,,,,616bc732387c414b1892567c,新闻测试组,false,6136c612407aae499e9b460e,,616bc732387c414b1892567c,
12,61860770d8e9f449f1ae2d1b,,,,,,6174bbe72791a432ec43640f,运营部,false,616d421e073de5a6c06384b9,运营部,,
5,61865eb6388b51c33cec9e45,,,,,,617661370a362d7d382a21b7,销售二部,,61865f71388b51c33cec9e8e,销售二部,,
8,61865f1b388b51c33cec9e7f,,,,,,6174bcfc2791a432ec436431,销售部一部,,61865f71388b51c33cec9e8e,销售一部,,
5,61865f71388b51c33cec9e8e,61865eb6388b51c33cec9e45,61865f1b388b51c33cec9e7f,,,,617661370a362d7d382a21b7,销售总部,,616d421e073de5a6c06384b9,销售总部,,
1,61867106de5f4fedfd3c5610,,,,,,6174bcfc2791a432ec436431,财务部,,6141c5dd0c9ccc3480c2034f,财务部,6174bcfc2791a432ec436431,
6,6186712fde5f4fedfd3c5633,616d3ed2230177a6b820d5eb,616d3eb1230177a6b820d5e5,6136db8c3b12395b0479dc0a,6136c612407aae499e9b460e,616d3f7f230177a6b820d5f8,617661370a362d7d382a21b7,技术部,,,技术部,617661370a362d7d382a21b7,
1,618671a7de5f4fedfd3c56f9,,,,,,616c15d2e09195d7584be11a,产品测试组,,6136c612407aae499e9b460e,产品测试组,616c15d2e09195d7584be11a,
1,61867203de5f4fedfd3c577e,,,,,,6135d90224b2ad14d3163220,UI设计部,,6136dad93b12395b0479dc06,,6135d90224b2ad14d3163220,
